distance_to_latrine_meters,distance_to_river_meters,distance_to_farmland_meters,buffer_encroachments_count,rainfall_intensity_mm,cumulative_48h_rainfall_mm,temperature_celsius,humidity_percent,source_type_code,target_unsafe,scenario,station_name,barangay
1346.9,3148.8,5000.0,0,18.6,35.4,28.3,83.9,0,0,Moderate Monsoon,Jetmatic Pump (Source from Kaugbong Spring),Batuan
1346.9,3148.8,5000.0,0,96.3,171.5,24.3,98.8,0,1,Severe Storm Runoff,Jetmatic Pump (Source from Kaugbong Spring),Batuan
1346.9,3148.8,5000.0,0,127.4,180.0,24.7,94.1,0,1,Severe Storm Runoff,Jetmatic Pump (Source from Kaugbong Spring),Batuan
1131.8,2932.3,5000.0,0,1.4,1.7,31.0,71.5,1,0,Dry / Normal,Bungkanag BIS (first faucet from first tank),Batuan
1131.8,2932.3,5000.0,0,0.3,2.5,32.5,68.1,1,0,Dry / Normal,Bungkanag BIS (first faucet from first tank),Batuan
1131.8,2932.3,5000.0,0,19.3,39.1,28.4,82.9,1,0,Moderate Monsoon,Bungkanag BIS (first faucet from first tank),Batuan
1131.8,2932.3,5000.0,0,35.2,60.4,25.8,88.7,1,0,Moderate Monsoon,Bungkanag BIS (first faucet from first tank),Batuan
1131.8,2932.3,5000.0,0,85.7,157.3,25.2,95.8,1,1,Severe Storm Runoff,Bungkanag BIS (first faucet from first tank),Batuan
1131.8,2932.3,5000.0,0,66.3,148.1,24.1,93.3,1,1,Severe Storm Runoff,Bungkanag BIS (first faucet from first tank),Batuan
1195.7,2996.0,5000.0,0,0.2,4.9,31.4,65.2,1,1,Dry / Normal,Bugkanag BIS (First Tank),Batuan
1195.7,2996.0,5000.0,0,2.6,4.4,31.2,67.3,1,1,Dry / Normal,Bugkanag BIS (First Tank),Batuan
1195.7,2996.0,5000.0,0,35.7,53.4,28.3,81.7,1,1,Moderate Monsoon,Bugkanag BIS (First Tank),Batuan
1195.7,2996.0,5000.0,0,25.2,37.5,28.2,90.5,1,1,Moderate Monsoon,Bugkanag BIS (First Tank),Batuan
1195.7,2996.0,5000.0,0,78.1,151.1,25.9,95.9,1,1,Severe Storm Runoff,Bugkanag BIS (First Tank),Batuan
1195.7,2996.0,5000.0,0,97.1,149.2,23.3,98.3,1,1,Severe Storm Runoff,Bugkanag BIS (First Tank),Batuan
1021.0,2778.2,5000.0,0,4.5,9.6,29.7,69.5,0,1,Dry / Normal,Tuhob Spring (open main source purok bungcanag),Batuan
1021.0,2778.2,5000.0,0,3.6,10.8,32.4,75.1,0,1,Dry / Normal,Tuhob Spring (open main source purok bungcanag),Batuan
1021.0,2778.2,5000.0,0,34.3,46.0,25.6,90.8,0,1,Moderate Monsoon,Tuhob Spring (open main source purok bungcanag),Batuan
1021.0,2778.2,5000.0,0,33.2,43.4,25.4,88.0,0,1,Moderate Monsoon,Tuhob Spring (open main source purok bungcanag),Batuan
1021.0,2778.2,5000.0,0,60.4,108.4,24.9,96.8,0,1,Severe Storm Runoff,Tuhob Spring (open main source purok bungcanag),Batuan
1021.0,2778.2,5000.0,0,105.6,156.8,25.5,93.7,0,1,Severe Storm Runoff,Tuhob Spring (open main source purok bungcanag),Batuan
1207.4,2998.9,5000.0,0,1.6,7.6,31.2,76.0,0,1,Dry / Normal,First tank from Tuhob Spring,Batuan
1207.4,2998.9,5000.0,0,3.3,7.8,28.5,69.8,0,1,Dry / Normal,First tank from Tuhob Spring,Batuan
1207.4,2998.9,5000.0,0,23.0,37.9,28.4,84.7,0,1,Moderate Monsoon,First tank from Tuhob Spring,Batuan
1207.4,2998.9,5000.0,0,41.8,64.4,27.8,86.0,0,1,Moderate Monsoon,First tank from Tuhob Spring,Batuan
1207.4,2998.9,5000.0,0,100.4,165.0,23.7,97.1,0,1,Severe Storm Runoff,First tank from Tuhob Spring,Batuan
1207.4,2998.9,5000.0,0,79.7,120.9,25.3,93.2,0,1,Severe Storm Runoff,First tank from Tuhob Spring,Batuan
1338.3,3004.5,5000.0,0,4.7,12.3,32.6,69.8,0,0,Dry / Normal,Kakuwas Spring (Intake Box),Batuan
1338.3,3004.5,5000.0,0,0.1,7.5,30.1,77.6,0,0,Dry / Normal,Kakuwas Spring (Intake Box),Batuan
1338.3,3004.5,5000.0,0,43.9,71.0,26.0,84.6,0,1,Moderate Monsoon,Kakuwas Spring (Intake Box),Batuan
1338.3,3004.5,5000.0,0,40.5,56.8,25.6,86.7,0,1,Moderate Monsoon,Kakuwas Spring (Intake Box),Batuan
1338.3,3004.5,5000.0,0,125.5,200.3,25.0,92.7,0,1,Severe Storm Runoff,Kakuwas Spring (Intake Box),Batuan
1338.3,3004.5,5000.0,0,103.1,192.6,23.5,95.6,0,1,Severe Storm Runoff,Kakuwas Spring (Intake Box),Batuan
1305.3,3048.8,5000.0,0,4.4,10.3,31.5,74.1,0,0,Dry / Normal,First Reservoir from Kakuwas Spring,Batuan
1305.3,3048.8,5000.0,0,1.8,4.1,32.0,75.5,0,0,Dry / Normal,First Reservoir from Kakuwas Spring,Batuan
1305.3,3048.8,5000.0,0,41.0,69.3,26.8,86.0,0,1,Moderate Monsoon,First Reservoir from Kakuwas Spring,Batuan
1305.3,3048.8,5000.0,0,38.9,61.9,27.5,89.5,0,1,Moderate Monsoon,First Reservoir from Kakuwas Spring,Batuan
1305.3,3048.8,5000.0,0,122.3,179.2,24.3,92.7,0,1,Severe Storm Runoff,First Reservoir from Kakuwas Spring,Batuan
1305.3,3048.8,5000.0,0,100.5,142.3,24.6,95.8,0,1,Severe Storm Runoff,First Reservoir from Kakuwas Spring,Batuan
1546.1,3299.1,5000.0,0,1.4,6.1,28.2,65.5,0,0,Dry / Normal,Buho Spring (Open Main Source Purok 1 Tuog),Batuan
1546.1,3299.1,5000.0,0,4.1,7.0,28.6,71.8,0,0,Dry / Normal,Buho Spring (Open Main Source Purok 1 Tuog),Batuan
1546.1,3299.1,5000.0,0,38.1,52.4,27.2,81.0,0,1,Moderate Monsoon,Buho Spring (Open Main Source Purok 1 Tuog),Batuan
1546.1,3299.1,5000.0,0,16.6,37.2,26.9,87.6,0,0,Moderate Monsoon,Buho Spring (Open Main Source Purok 1 Tuog),Batuan
1546.1,3299.1,5000.0,0,110.8,199.6,24.8,94.3,0,1,Severe Storm Runoff,Buho Spring (Open Main Source Purok 1 Tuog),Batuan
1546.1,3299.1,5000.0,0,115.7,169.2,24.5,92.5,0,1,Severe Storm Runoff,Buho Spring (Open Main Source Purok 1 Tuog),Batuan
1739.5,3435.1,5000.0,0,0.1,7.8,32.2,74.0,0,1,Dry / Normal,Jetmatic Pump (from main source Buho Spring),Batuan
1739.5,3435.1,5000.0,0,2.0,3.4,28.8,68.3,0,1,Dry / Normal,Jetmatic Pump (from main source Buho Spring),Batuan
1739.5,3435.1,5000.0,0,31.5,55.8,27.3,83.4,0,1,Moderate Monsoon,Jetmatic Pump (from main source Buho Spring),Batuan
1739.5,3435.1,5000.0,0,43.6,68.4,26.9,87.3,0,1,Moderate Monsoon,Jetmatic Pump (from main source Buho Spring),Batuan
1739.5,3435.1,5000.0,0,89.4,141.8,24.2,97.3,0,1,Severe Storm Runoff,Jetmatic Pump (from main source Buho Spring),Batuan
1739.5,3435.1,5000.0,0,61.0,106.8,23.2,92.3,0,1,Severe Storm Runoff,Jetmatic Pump (from main source Buho Spring),Batuan
1747.8,3429.2,5000.0,0,4.3,9.9,30.4,66.3,0,0,Dry / Normal,First tank from Buho Spring,Batuan
1747.8,3429.2,5000.0,0,2.5,6.3,28.9,70.6,0,0,Dry / Normal,First tank from Buho Spring,Batuan
1747.8,3429.2,5000.0,0,27.0,49.3,27.2,80.5,0,0,Moderate Monsoon,First tank from Buho Spring,Batuan
1747.8,3429.2,5000.0,0,26.2,48.7,26.8,90.3,0,0,Moderate Monsoon,First tank from Buho Spring,Batuan
1747.8,3429.2,5000.0,0,106.1,154.2,23.2,96.5,0,1,Severe Storm Runoff,First tank from Buho Spring,Batuan
1747.8,3429.2,5000.0,0,61.9,131.2,26.3,96.0,0,1,Severe Storm Runoff,First tank from Buho Spring,Batuan
1487.1,3168.6,5000.0,0,1.9,7.0,30.3,72.1,0,1,Dry / Normal,Hunog-Hunog Spring,Batuan
1487.1,3168.6,5000.0,0,4.7,7.8,32.8,76.8,0,1,Dry / Normal,Hunog-Hunog Spring,Batuan
1487.1,3168.6,5000.0,0,20.9,32.3,25.4,80.2,0,1,Moderate Monsoon,Hunog-Hunog Spring,Batuan
1487.1,3168.6,5000.0,0,17.8,41.5,25.2,83.8,0,1,Moderate Monsoon,Hunog-Hunog Spring,Batuan
1487.1,3168.6,5000.0,0,119.1,160.3,25.9,94.0,0,1,Severe Storm Runoff,Hunog-Hunog Spring,Batuan
1487.1,3168.6,5000.0,0,68.3,143.1,25.2,98.1,0,1,Severe Storm Runoff,Hunog-Hunog Spring,Batuan
2385.3,3969.6,5000.0,0,3.7,10.1,29.4,67.3,0,1,Dry / Normal,First faucet from Monda Spring,Batuan
2385.3,3969.6,5000.0,0,3.8,10.3,33.0,70.4,0,1,Dry / Normal,First faucet from Monda Spring,Batuan
2385.3,3969.6,5000.0,0,26.2,51.7,26.2,91.2,0,1,Moderate Monsoon,First faucet from Monda Spring,Batuan
2385.3,3969.6,5000.0,0,40.8,59.4,27.6,89.1,0,1,Moderate Monsoon,First faucet from Monda Spring,Batuan
2385.3,3969.6,5000.0,0,67.2,152.3,24.8,97.8,0,1,Severe Storm Runoff,First faucet from Monda Spring,Batuan
2385.3,3969.6,5000.0,0,82.4,167.2,24.4,92.1,0,1,Severe Storm Runoff,First faucet from Monda Spring,Batuan
1883.3,3653.0,5000.0,0,4.5,5.2,29.6,77.4,2,1,Dry / Normal,Jetmatic Pump (Purok Tambis),Batuan
1883.3,3653.0,5000.0,0,4.8,9.4,31.2,70.8,2,1,Dry / Normal,Jetmatic Pump (Purok Tambis),Batuan
1883.3,3653.0,5000.0,0,23.8,40.4,27.4,89.0,2,1,Moderate Monsoon,Jetmatic Pump (Purok Tambis),Batuan
1883.3,3653.0,5000.0,0,38.7,64.5,25.3,85.9,2,1,Moderate Monsoon,Jetmatic Pump (Purok Tambis),Batuan
1883.3,3653.0,5000.0,0,64.0,131.5,24.5,98.2,2,0,Severe Storm Runoff,Jetmatic Pump (Purok Tambis),Batuan
1883.3,3653.0,5000.0,0,84.6,130.5,23.5,97.3,2,0,Severe Storm Runoff,Jetmatic Pump (Purok Tambis),Batuan
2024.0,3828.0,5000.0,0,3.1,3.9,28.4,74.1,1,0,Dry / Normal,Patong faucet (Source from Tank),Batuan
2024.0,3828.0,5000.0,0,0.4,7.0,31.5,66.1,1,0,Dry / Normal,Patong faucet (Source from Tank),Batuan
2024.0,3828.0,5000.0,0,17.5,47.2,26.3,84.4,1,0,Moderate Monsoon,Patong faucet (Source from Tank),Batuan
2024.0,3828.0,5000.0,0,39.4,68.3,28.5,89.0,1,0,Moderate Monsoon,Patong faucet (Source from Tank),Batuan
2024.0,3828.0,5000.0,0,86.3,130.5,25.7,95.9,1,1,Severe Storm Runoff,Patong faucet (Source from Tank),Batuan
2024.0,3828.0,5000.0,0,89.7,175.0,23.4,95.4,1,1,Severe Storm Runoff,Patong faucet (Source from Tank),Batuan
1719.1,2272.8,4385.1,0,0.1,3.8,28.3,66.5,0,0,Dry / Normal,Water Tub (Source: Sandajong Spring),Cambooc
1719.1,2272.8,4385.1,0,0.6,5.8,31.7,72.6,0,0,Dry / Normal,Water Tub (Source: Sandajong Spring),Cambooc
1719.1,2272.8,4385.1,0,43.9,61.4,26.0,90.4,0,1,Moderate Monsoon,Water Tub (Source: Sandajong Spring),Cambooc
1719.1,2272.8,4385.1,0,21.7,51.0,25.0,91.6,0,1,Moderate Monsoon,Water Tub (Source: Sandajong Spring),Cambooc
1719.1,2272.8,4385.1,0,63.0,147.6,24.8,99.0,0,1,Severe Storm Runoff,Water Tub (Source: Sandajong Spring),Cambooc
1719.1,2272.8,4385.1,0,65.2,132.9,26.4,95.7,0,1,Severe Storm Runoff,Water Tub (Source: Sandajong Spring),Cambooc
1845.5,2215.2,4271.0,0,3.1,8.7,30.3,73.2,0,0,Dry / Normal,First Tank (Source: Spring),Cambooc
1845.5,2215.2,4271.0,0,2.9,10.1,28.2,68.7,0,0,Dry / Normal,First Tank (Source: Spring),Cambooc
1845.5,2215.2,4271.0,0,43.5,71.3,26.6,87.4,0,1,Moderate Monsoon,First Tank (Source: Spring),Cambooc
1845.5,2215.2,4271.0,0,23.3,37.1,26.6,84.2,0,0,Moderate Monsoon,First Tank (Source: Spring),Cambooc
1845.5,2215.2,4271.0,0,100.9,144.8,26.4,98.9,0,1,Severe Storm Runoff,First Tank (Source: Spring),Cambooc
1845.5,2215.2,4271.0,0,108.9,175.7,24.1,97.7,0,1,Severe Storm Runoff,First Tank (Source: Spring),Cambooc
1866.1,1687.5,3711.9,0,3.4,4.7,32.6,75.7,0,1,Dry / Normal,Tambowang Spring (Open Main Source),Cambooc
1866.1,1687.5,3711.9,0,4.7,10.5,31.1,70.4,0,1,Dry / Normal,Tambowang Spring (Open Main Source),Cambooc
1866.1,1687.5,3711.9,0,43.0,70.3,25.2,80.3,0,1,Moderate Monsoon,Tambowang Spring (Open Main Source),Cambooc
1866.1,1687.5,3711.9,0,26.3,52.5,28.5,81.8,0,1,Moderate Monsoon,Tambowang Spring (Open Main Source),Cambooc
1866.1,1687.5,3711.9,0,101.6,160.6,26.4,97.9,0,1,Severe Storm Runoff,Tambowang Spring (Open Main Source),Cambooc
1866.1,1687.5,3711.9,0,118.7,182.1,24.5,93.9,0,1,Severe Storm Runoff,Tambowang Spring (Open Main Source),Cambooc
1477.1,1969.1,4158.8,0,0.3,7.2,32.1,78.0,0,1,Dry / Normal,First Tank (Source: Lunas Spring),Cambooc
1477.1,1969.1,4158.8,0,5.0,9.4,31.8,77.3,0,1,Dry / Normal,First Tank (Source: Lunas Spring),Cambooc
1477.1,1969.1,4158.8,0,40.5,55.4,26.6,81.5,0,1,Moderate Monsoon,First Tank (Source: Lunas Spring),Cambooc
1477.1,1969.1,4158.8,0,43.6,65.7,25.8,88.1,0,1,Moderate Monsoon,First Tank (Source: Lunas Spring),Cambooc
1477.1,1969.1,4158.8,0,103.3,161.2,23.4,96.7,0,1,Severe Storm Runoff,First Tank (Source: Lunas Spring),Cambooc
1477.1,1969.1,4158.8,0,96.4,175.0,24.8,98.0,0,1,Severe Storm Runoff,First Tank (Source: Lunas Spring),Cambooc
1658.4,2115.5,4239.2,0,2.8,7.3,32.4,70.2,2,0,Dry / Normal,Ka Paterno Jetmatic,Cambooc
1658.4,2115.5,4239.2,0,0.7,0.9,31.8,73.1,2,0,Dry / Normal,Ka Paterno Jetmatic,Cambooc
1658.4,2115.5,4239.2,0,36.1,50.4,25.5,80.2,2,0,Moderate Monsoon,Ka Paterno Jetmatic,Cambooc
1658.4,2115.5,4239.2,0,25.5,47.3,26.4,85.2,2,0,Moderate Monsoon,Ka Paterno Jetmatic,Cambooc
1658.4,2115.5,4239.2,0,123.3,180.7,24.8,97.5,2,0,Severe Storm Runoff,Ka Paterno Jetmatic,Cambooc
1658.4,2115.5,4239.2,0,87.8,158.9,26.0,98.6,2,0,Severe Storm Runoff,Ka Paterno Jetmatic,Cambooc
1998.6,2860.2,4953.7,0,0.7,8.1,30.5,68.4,2,0,Dry / Normal,Kayale Jetmatic Pump,Cambooc
1998.6,2860.2,4953.7,0,2.3,10.1,30.5,69.3,2,0,Dry / Normal,Kayale Jetmatic Pump,Cambooc
1998.6,2860.2,4953.7,0,34.0,48.8,25.3,81.5,2,0,Moderate Monsoon,Kayale Jetmatic Pump,Cambooc
1998.6,2860.2,4953.7,0,18.8,31.8,25.5,87.7,2,0,Moderate Monsoon,Kayale Jetmatic Pump,Cambooc
1998.6,2860.2,4953.7,0,72.7,130.0,26.1,95.3,2,0,Severe Storm Runoff,Kayale Jetmatic Pump,Cambooc
1998.6,2860.2,4953.7,0,106.7,155.3,23.7,92.3,2,0,Severe Storm Runoff,Kayale Jetmatic Pump,Cambooc
1730.6,2259.6,4365.8,0,0.8,3.0,28.9,66.2,0,0,Dry / Normal,Sandajong Spring Source,Cambooc
1730.6,2259.6,4365.8,0,0.6,4.3,29.0,69.7,0,0,Dry / Normal,Sandajong Spring Source,Cambooc
1730.6,2259.6,4365.8,0,30.1,53.9,25.1,89.6,0,1,Moderate Monsoon,Sandajong Spring Source,Cambooc
1730.6,2259.6,4365.8,0,33.8,45.4,28.1,91.1,0,0,Moderate Monsoon,Sandajong Spring Source,Cambooc
1730.6,2259.6,4365.8,0,64.3,118.1,25.8,97.2,0,1,Severe Storm Runoff,Sandajong Spring Source,Cambooc
1730.6,2259.6,4365.8,0,72.9,123.4,24.3,95.4,0,1,Severe Storm Runoff,Sandajong Spring Source,Cambooc
3456.6,5000.0,5000.0,0,3.1,6.1,30.3,74.7,0,1,Dry / Normal,Cacao Spring Intake Box (Main Source),Combado
3456.6,5000.0,5000.0,0,0.2,2.2,31.6,76.6,0,1,Dry / Normal,Cacao Spring Intake Box (Main Source),Combado
3456.6,5000.0,5000.0,0,30.4,51.0,25.4,85.4,0,1,Moderate Monsoon,Cacao Spring Intake Box (Main Source),Combado
3456.6,5000.0,5000.0,0,31.0,45.8,25.9,84.5,0,1,Moderate Monsoon,Cacao Spring Intake Box (Main Source),Combado
3456.6,5000.0,5000.0,0,61.4,117.5,23.7,94.3,0,1,Severe Storm Runoff,Cacao Spring Intake Box (Main Source),Combado
3456.6,5000.0,5000.0,0,68.4,152.9,25.1,96.8,0,1,Severe Storm Runoff,Cacao Spring Intake Box (Main Source),Combado
3679.7,5000.0,5000.0,0,3.9,7.9,28.4,72.0,0,1,Dry / Normal,Faucet Purok Caimito (Source:Cacao Spring),Combado
3679.7,5000.0,5000.0,0,2.9,8.9,30.2,66.7,0,1,Dry / Normal,Faucet Purok Caimito (Source:Cacao Spring),Combado
3679.7,5000.0,5000.0,0,23.5,40.8,27.3,86.8,0,1,Moderate Monsoon,Faucet Purok Caimito (Source:Cacao Spring),Combado
3679.7,5000.0,5000.0,0,25.7,55.4,27.1,82.8,0,1,Moderate Monsoon,Faucet Purok Caimito (Source:Cacao Spring),Combado
3679.7,5000.0,5000.0,0,67.1,114.7,23.9,93.1,0,1,Severe Storm Runoff,Faucet Purok Caimito (Source:Cacao Spring),Combado
3679.7,5000.0,5000.0,0,73.1,127.4,23.6,98.3,0,1,Severe Storm Runoff,Faucet Purok Caimito (Source:Cacao Spring),Combado
3816.0,5000.0,5000.0,0,0.4,4.6,30.1,77.8,3,0,Dry / Normal,Faucet in REYMS (Source:Prime Water),Combado
3816.0,5000.0,5000.0,0,0.6,3.8,32.8,76.3,3,0,Dry / Normal,Faucet in REYMS (Source:Prime Water),Combado
3816.0,5000.0,5000.0,0,39.5,54.7,25.6,88.0,3,0,Moderate Monsoon,Faucet in REYMS (Source:Prime Water),Combado
3816.0,5000.0,5000.0,0,42.9,64.0,27.0,83.4,3,0,Moderate Monsoon,Faucet in REYMS (Source:Prime Water),Combado
3816.0,5000.0,5000.0,0,113.9,163.3,24.1,95.0,3,0,Severe Storm Runoff,Faucet in REYMS (Source:Prime Water),Combado
3816.0,5000.0,5000.0,0,95.5,147.6,23.4,96.3,3,0,Severe Storm Runoff,Faucet in REYMS (Source:Prime Water),Combado
3927.0,5000.0,5000.0,0,1.4,6.0,28.8,71.3,0,1,Dry / Normal,Molave Steel Tank (Source: Cacao Spring),Combado
3927.0,5000.0,5000.0,0,2.7,3.1,29.7,66.7,0,1,Dry / Normal,Molave Steel Tank (Source: Cacao Spring),Combado
3927.0,5000.0,5000.0,0,16.9,46.7,26.1,89.7,0,1,Moderate Monsoon,Molave Steel Tank (Source: Cacao Spring),Combado
3927.0,5000.0,5000.0,0,22.6,46.2,27.7,87.1,0,1,Moderate Monsoon,Molave Steel Tank (Source: Cacao Spring),Combado
3927.0,5000.0,5000.0,0,93.0,153.6,24.2,98.5,0,1,Severe Storm Runoff,Molave Steel Tank (Source: Cacao Spring),Combado
3927.0,5000.0,5000.0,0,118.1,206.4,23.4,97.1,0,1,Severe Storm Runoff,Molave Steel Tank (Source: Cacao Spring),Combado
3942.4,5000.0,5000.0,0,4.7,6.1,28.3,74.6,2,0,Dry / Normal,Jetmatic Pump (Purok Narra),Combado
3942.4,5000.0,5000.0,0,2.9,9.6,28.7,75.3,2,0,Dry / Normal,Jetmatic Pump (Purok Narra),Combado
3942.4,5000.0,5000.0,0,21.0,34.3,25.6,89.8,2,0,Moderate Monsoon,Jetmatic Pump (Purok Narra),Combado
3942.4,5000.0,5000.0,0,35.0,55.5,26.3,90.5,2,0,Moderate Monsoon,Jetmatic Pump (Purok Narra),Combado
3942.4,5000.0,5000.0,0,87.5,168.3,24.5,94.6,2,0,Severe Storm Runoff,Jetmatic Pump (Purok Narra),Combado
3942.4,5000.0,5000.0,0,92.4,147.5,25.6,95.5,2,0,Severe Storm Runoff,Jetmatic Pump (Purok Narra),Combado
4046.5,5000.0,5000.0,0,1.2,8.4,29.9,72.1,2,0,Dry / Normal,Jetmatic Pump (Purok Tambis),Combado
4046.5,5000.0,5000.0,0,4.5,9.5,28.6,77.2,2,0,Dry / Normal,Jetmatic Pump (Purok Tambis),Combado
4046.5,5000.0,5000.0,0,33.8,50.5,25.5,89.5,2,0,Moderate Monsoon,Jetmatic Pump (Purok Tambis),Combado
4046.5,5000.0,5000.0,0,33.6,54.3,28.1,89.5,2,0,Moderate Monsoon,Jetmatic Pump (Purok Tambis),Combado
4046.5,5000.0,5000.0,0,70.6,126.2,23.9,97.2,2,0,Severe Storm Runoff,Jetmatic Pump (Purok Tambis),Combado
4046.5,5000.0,5000.0,0,62.3,130.8,25.7,98.1,2,0,Severe Storm Runoff,Jetmatic Pump (Purok Tambis),Combado
4087.5,5000.0,5000.0,0,1.7,8.3,28.6,76.0,3,0,Dry / Normal,Residential Faucet (Source:Prime Water),Combado
4087.5,5000.0,5000.0,0,0.6,3.8,32.0,66.9,3,0,Dry / Normal,Residential Faucet (Source:Prime Water),Combado
4087.5,5000.0,5000.0,0,21.9,46.3,27.5,87.7,3,0,Moderate Monsoon,Residential Faucet (Source:Prime Water),Combado
4087.5,5000.0,5000.0,0,35.8,56.7,25.9,84.1,3,0,Moderate Monsoon,Residential Faucet (Source:Prime Water),Combado
4087.5,5000.0,5000.0,0,72.7,158.1,25.0,94.8,3,0,Severe Storm Runoff,Residential Faucet (Source:Prime Water),Combado
4087.5,5000.0,5000.0,0,92.3,179.7,23.5,96.1,3,0,Severe Storm Runoff,Residential Faucet (Source:Prime Water),Combado
4124.5,5000.0,5000.0,0,2.5,7.4,28.1,76.3,1,0,Dry / Normal,MCNHS Faucet from motor tank (Source:Prime Water),Combado
4124.5,5000.0,5000.0,0,4.7,9.2,31.5,77.0,1,0,Dry / Normal,MCNHS Faucet from motor tank (Source:Prime Water),Combado
4124.5,5000.0,5000.0,0,36.2,49.3,27.0,87.3,1,0,Moderate Monsoon,MCNHS Faucet from motor tank (Source:Prime Water),Combado
